Course_Module,Level_Required,XP_Points_Earned,Course
"L10: Learning Rate Scheduling, Momentum and Nesterov Accelerated Gradient Dynamics",Level 3,70,Machine_Learning
"L11: Ridge Regression Analytical Solutions & L2 Regularization Penalty Geometries",Level 4,70,Machine_Learning
"L12: Lasso Regression Coordinate Descent Sparsity-Inducing Optimization Systems",Level 4,75,Machine_Learning
"L13: Elastic Net Combined L1/L2 Constraint Optimization Matrix Frameworks",Level 4,80,Machine_Learning
"L14: Logistic Regression Probability Calibration & Decision Boundary Hyperplane Mechanics",Level 5,75,Machine_Learning
"L15: Multiclass Classification via One-vs-Rest and Softmax Regression Architectures",Level 5,80,Machine_Learning
"L16: Class Imbalance Handling: SMOTE, ADASYN and Cost-Sensitive Learning Pipelines",Level 5,85,Machine_Learning
"L17: Hyperparameter Optimization: Grid Search, Random Search and Bayesian Sampling Engines",Level 5,90,Machine_Learning
"L18: Decision Tree Split Optimization using Entropy, Gini and Gain Ratio Metrics",Level 6,70,Machine_Learning
"L19: Ensemble Learning Foundations: Bagging, Boosting and Stacking Meta-Architectures",Level 6,80,Machine_Learning
"L20: AdaBoost Weak Learner Weight Reallocation & Exponential Loss Minimization",Level 6,85,Machine_Learning
"L21: Gradient Boosting Functional Gradient Descent Residual Learning Frameworks",Level 6,90,Machine_Learning
"L22: XGBoost Regularized Tree Boosting with Second-Order Taylor Approximation Updates",Level 7,95,Machine_Learning
"L23: LightGBM Histogram-Based Gradient Boosting & Leaf-Wise Growth Optimization",Level 7,100,Machine_Learning
"L24: CatBoost Ordered Target Encoding & Symmetric Tree Construction Engines",Level 7,105,Machine_Learning
"L25: Kernel Methods: Polynomial, RBF and Sigmoid Similarity Transform Spaces",Level 7,90,Machine_Learning
"L26: Support Vector Classification Margin Maximization and Hinge Loss Optimization",Level 8,95,Machine_Learning
"L27: Support Vector Regression Epsilon-Insensitive Loss Function Approximation Models",Level 8,100,Machine_Learning
"L28: Probabilistic Learning with Gaussian Processes Covariance Kernel Inference Systems",Level 8,110,Machine_Learning
"L29: Expectation-Maximization (EM) Algorithm Latent Variable Likelihood Maximization",Level 8,115,Machine_Learning
"L30: Gaussian Mixture Models Soft Clustering Posterior Probability Allocations",Level 9,90,Machine_Learning
"L31: Dimensionality Reduction using PCA Eigenvalue Decomposition and SVD Transformations",Level 9,95,Machine_Learning
"L32: Kernel PCA Nonlinear Feature Space Projection Architectures",Level 9,100,Machine_Learning
"L33: Independent Component Analysis (ICA) Blind Source Separation Optimization Systems",Level 9,105,Machine_Learning
"L34: t-SNE Stochastic Neighbor Embedding Similarity Preservation Dynamics",Level 10,110,Machine_Learning
"L35: UMAP Uniform Manifold Approximation and Topological Graph Embedding Mechanics",Level 10,115,Machine_Learning
"L36: Feature Selection via Mutual Information, Recursive Elimination and Embedded Methods",Level 10,120,Machine_Learning
"L37: Model Explainability: Permutation Importance and Partial Dependence Visualization Engines",Level 10,125,Machine_Learning
"L38: SHAP Shapley Additive Explanations Cooperative Game-Theoretic Attribution Systems",Level 10,130,Machine_Learning
"L39: LIME Local Interpretable Model-Agnostic Explanation Surrogate Frameworks",Level 11,120,Machine_Learning
"L40: Calibration Curves and Brier Score Reliability Assessment Architectures",Level 11,125,Machine_Learning
"L41: Online Learning Algorithms and Incremental Model Update Strategies",Level 11,130,Machine_Learning
"L42: Recommender Systems: Collaborative Filtering Matrix Factorization Pipelines",Level 11,135,Machine_Learning
"L43: Singular Value Decomposition Recommendation Engines and Latent Factor Models",Level 12,140,Machine_Learning
"L44: Association Rule-Based Recommendation Hybrid Personalization Architectures",Level 12,145,Machine_Learning
"L45: Anomaly Detection using Isolation Forest and One-Class SVM Boundary Estimators",Level 12,150,Machine_Learning
"L46: AutoML Search Spaces, Pipeline Optimization and Meta-Learning Frameworks",Level 12,155,Machine_Learning
"L47: Neural Network Foundations: Perceptrons, Activation Functions and Backpropagation Gradients",Level 12,160,Machine_Learning
"L48: Deep Feedforward Networks Weight Initialization and Vanishing Gradient Countermeasures",Level 12,165,Machine_Learning
"L49: Convolutional Neural Network Feature Extraction Hierarchies and Receptive Field Analysis",Level 12,175,Machine_Learning
"L50: Recurrent Neural Networks, LSTM and GRU Sequential Memory State Architectures",Level 12,180,Machine_Learning
"L51: Transformer Self-Attention Mechanisms and Positional Encoding Matrix Operations",Level 12,190,Machine_Learning
"L52: End-to-End Machine Learning Pipeline Deployment, Monitoring and MLOps Lifecycle Systems",Level 12,200,Machine_Learning
"L53: Survival Analysis & Time-to-Event Modeling: Cox Proportional Hazards & Random Survival Forests Math",Level 8,100,Machine_Learning
"L54: Graph Neural Networks (GNN): Graph Convolutional Networks (GCN) & Graph Attention Networks (GAT) Message passing",Level 12,180,Machine_Learning
"L55: Model Compression Architectures: Weight Pruning, Quantization Vector Calculus & Knowledge Distillation Loss Fields",Level 12,175,Machine_Learning
"L56: Self-Supervised & Contrastive Learning Frameworks: InfoNCE Loss, Siamese Networks & Triplet Loss Space Optimizers",Level 12,170,Machine_Learning
"L57: Deep Learning Normalization & Optimization Dynamics: LayerNorm, BatchNorm, WeightNorm & Cosine Annealing Math",Level 12,165,Machine_Learning
"L58: Bayesian Neural Networks & Variational Inference Loops: Monte Carlo Dropout & Evidence Lower Bound (ELBO) Derivations",Level 12,185,Machine_Learning
"L59: Algorithmic Fairness & Bias Mitigation: Demographic Parity, Equalized Odds & Counterfactual Fairness Optimization",Level 10,120,Machine_Learning
"L60: Metamorphic Testing & Data Validation Rules for End-to-End Automated Production ML Pipelines",Level 11,130,Machine_Learning
"L61: Vector Database Indexing Mechanics: Hierarchical Navigable Small World (HNSW) & Inverted File Index (IVF) Proximity Subspaces",Level 12,150,Machine_Learning
"L62: Federated Learning Topologies: Secure Multi-Party Aggregation, FedAvg Mathematics & Differential Privacy Bounds",Level 12,160,Machine_Learning
"CAT: Mid-Term Predictive Modeling, Ensemble Learning & Hyperparameter Optimization Sprint",Level 6,500,Machine_Learning
"DA: Enterprise-Scale Machine Learning Pipeline Design, Explainability & Production Deployment System",Level 12,900,Machine_Learning"L01: Limit Laws, Epsilon-Delta Definitions, and Continuity Verification for Single-Variable Functions",Level 1,30,Calculus_Optimization
"L02: Differentiability Rules: Product, Quotient, and Chain Rule Derivations from First Principles",Level 1,35,Calculus_Optimization
L03: Taylor and Maclaurin Polynomial Approximations and Remainder Error Bound Estimations,Level 2,40,Calculus_Optimization
L04: First and Second Derivative Tests for Local Maxima and Minima in Single-Variable Functions,Level 2,45,Calculus_Optimization
L05: Convex Function Properties: Jensen Inequality and Sub-Gradient Descent Formulations,Level 3,50,Calculus_Optimization
L06: Gradient Descent Algorithm: Step-Size Selection and Convergence Rate Proofs,Level 3,55,Calculus_Optimization
L07: Stochastic Gradient Descent Variance Reduction and Mini-Batch Mechanics,Level 4,60,Calculus_Optimization
L08: Lagrange Multipliers for Equality-Constrained Optimization Problems,Level 4,65,Calculus_Optimization
L09: KKT Conditions for Inequality-Constrained Convex Programming,Level 5,70,Calculus_Optimization
"L10: Numerical Differentiation: Forward, Backward, and Central Finite Difference Approximations",Level 5,65,Calculus_Optimization
L11: Newton-Raphson Root Finding and Quasi-Newton BFGS Optimization Algorithms,Level 6,75,Calculus_Optimization
"L12: Partial Derivatives, Gradient Vectors, and Jacobian Matrix Computations",Level 6,80,Calculus_Optimization
L13: Hessian Matrix Definiteness Tests for Multi-Variable Saddle Point Detection,Level 7,85,Calculus_Optimization
L14: Coordinate Descent and Alternating Minimization for Block-Separable Objectives,Level 7,90,Calculus_Optimization
L15: Automatic Differentiation via Forward and Reverse Mode Computational Graph Passes,Level 8,95,Calculus_Optimization
L16: Proximal Gradient Methods and ISTA/FISTA Accelerated Composite Minimizers,Level 9,100,Calculus_Optimization
CAT: GATE Calculus and Optimization Assessment: Derivative Analysis and Gradient Descent,Level 5,500,Calculus_Optimization
DA: End-to-End Gradient Descent Implementation with Convergence Analysis Production Engine,Level 8,800,Calculus_Optimization
