English,Tamil
Defendant, பிரதிவாதி
Defender, பாதுகாவலர்
Defensive, தற்காப்பு சார்ந்த
Defer, ஒத்திவை
Deference, மரியாதை
Defiance, எதிர்ப்புக் காட்டுதல்
Defiant, எதிர்த்து நிற்கும்
Deficiency, குறைபாடு
Deficient, பற்றாக்குறையான
Deficit, பற்றாக்குறை
Defile, அசுத்தப்படுத்து
Define, வரையறு
Definite, தெளிவான / நிச்சயமான
Definitely, நிச்சயமாக
Definition, வரையறை
Definitive, இறுதியான
Deflate, காற்றை இறக்கு
Deflect, திசைதிருப்பு
Deforestation, காடழிப்பு
Deform, உருக்குலை
Deformity, ஊனம் / உருக்குலைவு
Defraud, ஏமாற்றிப் பறி
Defy, எதிர்த்து நில்
Degenerate, சீரழிந்த
Degradation, தரம் தாழ்தல்
Degrade, தரம் குறை
Degree, பட்டம் / அளவு
Dehydrate, நீரிழப்பு அடை
Deity, தெய்வம்
Dejected, மனச்சோர்வடைந்த
Delay, தாமதம்
Delegate, பிரதிநிதி
Delegation, பிரதிநிதிகள் குழு
Delete, நீக்கு
Deletion, நீக்கம்
Deliberate, திட்டமிட்ட / நிதானமான
Deliberately, வேண்டுமென்றே
Delicacy, மென்மை / சுவையான உணவு
Delicate, மென்மையான
Delicious, சுவையான
Delight, மகிழ்ச்சி
Delightful, மகிழ்ச்சியளிக்கும்
Delineate, விவரி
Delinquent, குற்றவாளி
Delirium, மனக்குழப்ப நிலை
Deliver, விநியோகி / பிரசவி
Delivery, விநியோகம் / பிரசவம்
Delta, டெல்டா / முகத்துவாரம்
Delude, ஏமாற்று
Deluge, வெள்ளப்பெருக்கு
Delusion, மனப்ப్రాந்தி
Demand, தேவை / கோரிக்கை
Demanding, சிரமமான
Demeanor, நடத்தை
Demean, சிறுமைப்படுத்து
Dementia, மறதி நோய்
Demise, மறைவு
Democracy, ஜனநாயகம்
Democrat, ஜனநாயகவாதி
Democratic, ஜனநாயக சார்ந்த
Demography, மக்கள் தொகையியல்
Demolish, இடித்துத் தள்ளு
Demolition, இடிப்பு
Demon, அரக்கன்
Demonstrate, நிரூபி / ஆர்ப்பாட்டம் செய்
Demonstration, செயல்முறை விளக்கம் / ஆர்ப்பாட்டம்
Demonstrator, ஆர்ப்பாட்டக்காரர்
Den, குகை / படுக்கையறை
Denial, மறுப்பு
Denomination, பிரிவு / பண மதிப்பு
Denote, குறிப்பிடு
Denounce, பகிரங்கமாகக் கண்டி
Dense, அடர்த்தியான
Density, அடர்த்தி
Dent, பள்ளம் / நசுக்கம்
Dental, பல் சார்ந்த
Dentist, பல் மருத்துவர்
Deny, மறு
Depart, புறப்படு
Department, துறை
Departmental, துறை சார்ந்த
Departure, புறப்பாடு
Depend, நம்பியிரு
Dependable, நம்பகமான
Dependence, சார்ந்திருத்தல்
Dependent, சார்ந்திருக்கும் நபர்
Depict, சித்தரி
Depiction, சித்தரிப்பு
Deplete, குறைத்துவிடு
Depletion, குறைவு
Deplorable, இரங்கத்தக்க
Deplore, வருந்து
Deploy, செயல்படுத்து / படை நிறுத்து
Deployment, நிறுத்துகை
Deport, நாடு கடத்து
Deportation, நாடுகடத்தல்
Deposit, வைப்புத்தொகை / சேமி
Depositor, வைப்பாளர்
Depot, சேமிப்புக் கிடங்கு
Deprave, சீரழி
Depreciate, மதிப்பு குறை
Depreciation, தேய்மானம்
Depress, மனச்சோர்வடையச் செய்
Depressed, மனச்சோர்வுற்ற
Depression, மனச்சோர்வு / பொருளாதார வீழ்ச்சி
Deprive, பறித்துக்கொள்
Deprivation, இழப்பு
Depth, ஆழம்
Deputy, துணைத் தலைவர்
Derail, தண்டவாளம் தப்பு
Derive, பெறு / வழிவிளி
Derived, பெறப்பட்ட
Derogatory, இழிவான
Derrick, ஏற்றி இறக்கும் கருவி
Descend, கீழே இறங்கு
Defendant, வாரிசு / வழித்தோன்றல்
Descent, இறக்கம் / வம்சாவளி
Describe, விவரி
Description, விவரணம்
Descriptive, விவரிக்கும்
Desecrate, அசுத்தப்படுத்து
Desert, பாலைவனம் / கைவிடு
Deserted, ஆளற்ற
Deserve, தகுதி பெறு
Design, வடிவமைப்பு
Designate, நியமி / குறிப்பிடு
Designation, பதவி
Designer, வடிவமைப்பாளர்
Desirable, விரும்பத்தக்க
Desire, ஆசை / விருப்பம்
Desk, மேஜை
Desktop, டெஸ்க்டாப்
Desolate, பாழடைந்த
Despair, நம்பிக்கையின்மை
Desperate, விரக்தியான
Desperately, தீவிரமாக
Despise, வெறு
Despite, இருந்தபோதிலும்
Despondent, மனமுடைந்த
Dessert, இனிப்புப் பண்டம்
Destination, இலக்கு
Destined, விதிக்கப்பட்ட
Destiny, விதி
Destitute, ஆதரவற்ற
Destroy, அழி
Destroyer, அழிப்பவன் / போர்நௌகா
Destruction, அழிவு
Destructive, அழிவுகரமான
Detach, பிரி
Detached, தனித்த
Detail, விவரம்
Detailed, விரிவான
Detain, காவலில் வை
Detective, துப்பறிவாளர்
Detector, கண்டறியும் கருவி
Detention, தடுப்புக் காவல்
Deter, தடுத்து நிறுத்து
Detergent, சலவை சோப்பு
Deteriorate, மோசமடை
Deterioration, சீர்குலைவு
Determination, உறுதிப்பாடு
Determine, தீர்மானி
Determined, உறுதியான
Deterrent, தடுப்புச் சாதனம்
Detest, வெறு
Detonate, வெடிக்கச்செய்
Detour, மாற்றுப்பாதை
Detriment, கேடு / இழப்பு
Detrimental, தீங்கான
Devastate, பாழாக்கு
Devastating, பேரழிவை ஏற்படுத்தும்
Devastation, பேரழிவு
Develop, உருவாக்கு / வளர்
Developer, உருவாக்குநர்
Developing, வளர்ந்து வரும்
Development, வளர்ச்சி
Deviate, விலகிச்செல்
Deviation, விலகல்
Device, சாதனம்
Devil, பிசாசு / பேய்
Devise, திட்டம் தீட்டு
Devoid, இல்லாத
Devote, அர்ப்பணி
Devoted, அர்ப்பணிப்புள்ள
Devotee, பக்தர்
Devotion, பக்தி
Devour, விழுங்கு
Devout, பக்தியுள்ள
Dew, பனித்துளி
Diabetes, நீரிழிவு நோய்
Diabetic, நீரிழிவு நோயாளி
Diagnose, நோய் கண்டறி
Diagnosis, நோய்க்கணிப்பு
Diagnostic, நோயறிதல் சார்ந்த
Diagonal, மூலைவிட்டம்
Diagram, வரைபடம்
Dial, டயல் செய் / கடிகார முகம்
Dialect, வட்டார வழக்கு
Dialogue, உரையாடல்
Diameter, விட்டம்
Diamond, வைரம்
Diaper, துணி / டயபர்
Diary, நாட்குறிப்பு
Dictate, கட்டளையிடு / வாசித்துக் காட்டு
Dictation, வாசித்தல்
Dictator, சர்வாதிகாரி
Dictatorship, சர்வாதிகாரம்
Dictionary, அகராதி
Die, இற
Diesel, டீசல்
Diet, உணவுமுறை
Dietary, உணவு தொடர்பான
Differ, வேறுபடு
Difference, வேறுபாடு
Different, வித்தியாசமான
Differently, வேறுவிதமாக
Difficult, கடினமான
Difficulty, சிரமம்
Diffident, தன்னம்பிக்கையற்ற
Diffuse, பரவு
Diffusion, பரவல்
Dig, தோண்டு
Digest, செரிமானம் செய் / தொகுப்பு
Digestion, செரிமானம்
Digestive, செரிமான மண்டலம் சார்ந்த
Digit, இலக்கம்
Digital, டிஜிட்டல் / எண்முறை
Dignified, கண்ணியமான
Dignity, கண்ணியம்
Dike, மதகு
Diligent, சுறுசுறுப்பான / உழைப்பாளி
Diligence, கடின உழைப்பு
Dilute, நீர்த்துப்போகச் செய்
Dim, மங்கலான
Dimension, பரிமாணம்
Diminish, குறை
Diminutive, சிறிய
Dimple, கன்னக்குழி
Dine, உணவருந்து
Diner, உணவகம் / உணவருந்துபவர்
Dinghy, சிறிய படகு
Dining, உணவருந்துதல்
Dinner, இரவு உணவு
Dinosaur, டைனோசர்
Dip, முக்கு / தாழ்வு
Diphtheria, தொண்டை அடைப்பான் நோய்
Diploma, டிப்ளமோ / சான்றிதழ்
Diplomacy, ராஜதந்திரம்
Diplomat, ராஜதந்திரி
Diplomatic, ராஜதந்திர சார்ந்த
Direct, நேரடி / வழிகாட்டு
Direction, திசை / வழிகாட்டல்
Directive, வழிகாட்டுதல்
Directly, நேரடியாக
Director, இயக்குனர்
Directory, கோப்பகம் / வழிகாட்டி
Dirt, அழுக்கு
Dirty, அழுக்கான
Disability, ஊனம்
Disable, முடக்கு
Disabled, மாற்றுத்திறனாளி
Disadvantage, தீமை / பின்னடைவு
Disagree, மாறுபடு
Disagreement, கருத்து வேறுபாடு
Disappear, மறைந்துபோ
Disappearance, மறைவு
Disappoint, ஏமாற்றமடையச் செய்
Disappointed, ஏமாற்றமடைந்த
Disappointment, ஏமாற்றம்
Disapproval, ஒப்புதலின்மை
Disapprove, நிராகரி
Disaster, பேரழிவு
Disastrous, பேரழிவான
Disband, கலைத்துவிடு
Disbelief, நம்பிக்கையின்மை
Discharge, விடுதலை செய் / வெளியேற்று
Disciple, சீடன்
Disciplinary, ஒழுங்கு நடவடிக்கை சார்ந்த
Discipline, ஒழுக்கம்
Disclose, வெளிப்படுத்து
Disclosure, வெளிப்படுத்துதல்
Discomfort, அசௌகரியம்
Disconnect, இணைப்பைத் துண்டி
Discontent, மனநிறைவின்மை
Discontinue, நிறுத்து
Discord, கருத்து வேறுபாடு
Discount, தள்ளுபடி
Discourage, மனம்தளரச்செய்
Discourse, சொற்பொழிவு
Discover, கண்டுபிடி
Discovery, கண்டுபிடிப்பு
Discredit, அவப்பெயர்
Discreet, ரகசியமான / எச்சரிக்கையான
Discrepancy, முரண்பாடு
Discretion, விவேகம்
Discriminate, பாகுபாடு காட்டு
Discrimination, பாகுபாடு
Discuss, விவாதி
Discussion, விவாதம்
Disdain, அலட்சியம்
Disease, நோய்
Diseased, நோயுற்ற
Disgrace, அவமானம்
Disgraceful, அவமானகரமான
Disguise, உருமாற்றம் / மாறுவேஷம்
Disgust, அருவருப்பு
Disgusting, அருவருப்பான
Dish, தட்டு / உணவு
Dishonest, நேர்மையற்ற
Dishonesty, நேர்மையின்மை
Dishonor, அவமானம்
Disk, வட்டு
Dislike, வெறுப்பு
Dismal, மங்கலான / சோகமான
Dismantle, பிரித்து எடு
Dismay, திடுக்கிடல்
Dismiss, பணிநீக்கம் செய் / நிராகரி
Dismissal, பணிநீக்கம்
Disobedience, கீழ்ப்படியாமை
Disobey, கீழ்ப்படிய மறு
Disorder, கோளாறு / ஒழுங்கின்மை
Disorganize, ஒழுங்கீனப்படுத்து
Disown, சொந்தம் கொண்டாட மறு
Disparate, முற்றிலும் மாறுபட்ட
Disparity, சமமின்மை
Dispatch, அனுப்பிவை
Dispel, போக்கு
Dispensary, மருந்தகம்
Dispense, வழங்கு
Disperse, சிதறடி
Displace, இடம்பயரச் செய்
Displacement, இடப்பெயர்ச்சி
Display, காட்சிப்படுத்து
Displease, கோபப்படுத்து
Disposal, அகற்றுதல்
Dispose, அகற்று
Disposition, மனப்போக்கு
Disprove, தவறென நிரூபி
Dispute, தகராறு
Disqualify, தகுதிநீக்கம் செய்
Disregard, அலட்சியப்படுத்து
Disrepute, அவப்பெயர்
Disrupt, இடையூறு செய்
Disruption, இடையூறு
Dissatisfaction, திருப்தியின்மை
Dissect, ব্যবச்சேதம் செய்
Disseminate, பரப்பு
Dissent, எதிர்ப்புக் கருத்து
Dissertation, ஆய்வுக் கட்டுரை
Disservice, கேடு
Dissident, எதிர்ப்பாளர்
Dissolve, கரை
Distance, தூரம்
Distant, தொலைவில் உள்ள
Distaste, வெறுப்பு
Distort, திரித்துக்கூறு
Distortion, திரிபு
Distract, கவனத்தை திருப்பு
Distraction, கவனச்சிதறல்
Distress, துன்பம்
Distribute, விநியோகி
Distribution, விநியோகம்
Distributor, விநியோகிப்பாளர்
District, மாவட்டம்
Distrust, அவநம்பிக்கை
Disturb, தொந்தரவு செய்
Disturbance, தொந்தரவு
Disuse, பயன்பாடற்ற நிலை
Ditch, அகழி / பள்ளம்
Dive, மூழ்கிக்குதி
Diver, மூழ்காளர்
Diverge, விலகிச்செல்
Diverse, பல்வேறுபட்ட
Diversify, ப diversify / பல்வகைப்படுத்து
Diversion, திசைதிருப்புதல்
Diversity, பன்முகத்தன்மை
Divert, திசைதிருப்பு
Divide, பிளவுபடுத்து / வகு
Dividend, பங்காதாயம்
Divine, தெய்வீக
Divinity, தெய்வீகம்
Division, பிரிவு / வகுத்தல்
Divorce, விவாகரத்து
Dizziness, தலைச்சுற்றல்
Dizzy, தலைச்சுற்றலாக இருக்கும்
Do, செய்
Docile, அடக்கமான
Dock, கப்பல்துறை
Doctor, மருத்துவர்
Doctrine, கொள்கை
Document, ஆவணம்
Documentary, ஆவணப்படம்
Documentation, ஆவணமாக்கல்
Dodge, தப்பித்துக்கொள்
Dog, நாய்
Dogma, கோட்பாடு
Doing, செய்தல்
Dole, உதவித்தொகை
Doll, பொம்மை
Dollar, டாலர்
Dolphin, டால்பின்
Domain, களம் / டொமைன்
Dome, கூரை / குவிமாடம்
Domestic, உள்நாட்டு / வீட்டு உபயோக
Dominance, ஆதிக்கம்
Dominant, ஆதிக்கம் செலுத்தும்
Dominate, ஆதிக்கம் செலுத்து
Domination, ஆதிக்கம்
Dominion, ஆட்சிப் பகுதி
Donate, தானம் செய்
Donation, நன்கொடை
Donor, கொடையாளி
Donkey, கழுதை
Doom, அழிவு
Door, கதவு
Doorstep, வாசற்படி
Doorway, நுழைவாயில்
Dormant, தூங்கும் நிலையில் உள்ள
Dormitory, விடுதி
Dosage, மருந்தளவு
Dose, அளவு
Dot, புள்ளி
Double, இரட்டை
Doubt, சந்தேகம்
Doubtful, சந்தேகத்திற்குரிய
Doubtless, சந்தேகமின்றி
Dough, மாவு
Dove, புறா
Down, கீழே
Downfall, வீழ்ச்சி
Download, பதிவிறக்கம் செய்
Downstairs, கீழ்தளம்
Downturn, சரிவு
Downward, கீழ்நோக்கி
Dozen, டஜன் (12)
Draft, வரைவு
Drag, இழு
Dragon, டிராகன்
Drain, வடிகால் / வற்று
Drainage, வடிகால் அமைப்பு
Drama, நாடகம்
Dramatic, நாடகத்தனமான / வியத்தகு
Dramatically, கணிசமாக
Drastic, தீவிரமான
Draw, வரை / இழு / சமநிலை
Drawback, குறைபாடு
Drawer, டிராயர் / இழுப்பறை
Drawing, வரைபடம்
Dread, பயம்
Dreadful, பயங்கரமான
Dream, கனவு
Dreamer, கனவு காண்பவர்
Dreary, மங்கலான
Dredge, அள்ளு / தோண்டு
Dress, உடை
Dressing, உடை அணிதல் / கட்டுப்போடுதல்
Dried, உலர்ந்த
Drift, மிதந்து செல்
Drill, துளையிடு / பயிற்சி
Drink, குடி
Drinker, குடிப்பவர்
Drinking, குடிக்கும் பழக்கம்
Drip, சொட்டு
Drive, ஓட்டு
Driver, ஓட்டுநர்
Driveway, நடைபாதை
Driving, ஓட்டுதல்
Drizzle, தூறல்
Drone, ட்ரோன் / ட்ரோன் விமானம்
Droop, தொங்கு
Drop, சொட்டு / விடு
Dropout, பாதியில் நின்றவர்
Drought, வறட்சி
Drown, மூழ்கி இற
Drowsy, தூக்க கலக்கமான
Drug, மருந்து / போதைப்பொருள்
Druggist, மருந்தாளுனர்
Drum, மேளம்
Drummer, மேளக்காரர்
Drunk, குடித்த
Drunkard, குடிகாரன்
Drunken, குடித்திருக்கும்
Dry, உலர்
Dryness, வறட்சி
Dual, இரட்டை
Dubious, சந்தேகத்திற்குரிய
Duck, வாத்து
Duct, குழாய்
Due, செலுத்த வேண்டிய
Duel, இருவர் சண்டை
Duet, இரட்டையர் பாடல்
Dull, மந்தமான
Dumb, ஊமை
Dump, கொட்டு
Dumpster, குப்பைத்தொட்டி
Dune, மணல் குன்று
Dung, சாணம்
Dungeon, பாதாள சிறை
Duplicate, நகல்
Durability, நீடித்து உழைக்கும் தன்மை
Durable, நீடித்து உழைக்கும்
Duration, கால அளவு
During, பொழுது
Dusk, அந்திப்பொழுது
Dust, தூசி
Dustbin, குப்பைத்தொட்டி
Dusty, தூசி நிறைந்த
Duty, கடமை
Dwarf, குள்ளமான
Dwell, வசி
Dweller, வசிப்பவர்
Dwelling, இருப்பிடம்
Dwindle, குறைந்துபோ
Dye, சாயம்
Dying, சாகும் நிலையில்
Dynamic, சுறுசுறுப்பான / மாறுபடும்
Dynamics, இயங்கியல்
Dynamite, வெடிமருந்து
Dynasty, வம்சம்
Dyslexia, வாசிப்புக் குறைபாடு
Here is the continuation of the dictionary for the letter **E**:
Eager, ஆர்வமுள்ள
Eagerly, ஆர்வத்துடன்
Eagerness, ஆர்வம்
Eagle, கழுகு
Ear, காது / கதிர்
Early, அதிகாலை / தொடக்கத்திலேயே
Earmark, ஒதுக்கி வை
Earn, சம்பாதி
Earnest, நேர்மையான / தீவிரமான
Earnings, வருமானம்
Earring, கம்மல் / தோடு
Earth, பூமி / மண்
Earthen, மண் சார்ந்த
Earthquake, நிலநடுக்கம்
Ease, எளிமை / அமைதி
Easily, எளிதாக
East, கிழக்கு
Easter, ஈஸ்டர் பண்டிகை
Eastern, கிழக்கு சார்ந்த
Easy, எளிமையான
Eat, சாப்பிடு
Eater, உண்பவர்
Eavesdrop, ஒட்டுக்கேள்
Ebb, உள்வாங்குதல் / சரிவு
Eccentric, விசித்திரமான
Echo, எதிரொலி
Eclipse, கிரகணம்
Ecological, சூழலியல் சார்ந்த
Ecology, சூழலியல்
Economic, பொருளாதார
Economical, சிக்கனமான
Economics, பொருளாதாரம்
Economist, பொருளாதார நிபுணர்
Economy, பொருளாதாரம் / சிக்கனம்
Ecstasy, பேரின்பம்
Ecstatic, பெருமகிழ்ச்சியடைந்த
Edge, விளிம்பு
Edible, உண்ணக்கூடிய
Edict, கட்டளை / ஆணை
Edit, திருத்து
Edition, பதிப்பு
Editor, ஆசிரியர்
Editorial, தலையங்கம்
Educate, கல்வியளி
Educated, கல்வி கற்ற
Education, கல்வி
Educational, கல்வி சார்ந்த
Educator, கல்வியாளர்
Eel, விலாங்கு மீன்
Efface, அழித்துவிடு
Effect, விளைவு
Effective, பயனுள்ள
Effectively, திறம்பட
Effectiveness, செயல்திறன்
Efficiency, திறமை / செயல்திறன்
Efficient, திறமையான
Effort, முயற்சி
Effortless, முயற்சியற்ற / எளிதான
Egg, முட்டை
Ego, அகந்தை / தன்முனைப்பு
Egoism, தன்னலவாதம்
Egregious, மிகவும் மோசமான
Egress, வெளியேற்றம்
Eight, எட்டு
Eighteen, பதினெட்டு
Eighty, எண்பது
Either, ஏதேனும் ஒன்று
Eject, வெளியேற்று
Elaborate, விரிவான / விளக்கு
Elaboration, விளக்கவுரை
Elastic, நெகிழ்வுத்தன்மை கொண்ட
Elasticity, நெகிழ்வுத்தன்மை
Elated, பெருமகிழ்ச்சியடைந்த
Elbow, முழங்கை
Elder, மூத்தவர்
Elderly, வயதான
Eldest, மூத்த
Elect, தேர்ந்தெடு
Election, தேர்தல்
Elective, விருப்பப் பாடம்
Elector, வாக்காளர்
Electoral, தேர்தல் சார்ந்த
Electric, மின்சார
Electrical, மின் சார்ந்த
Electrician, மின்சாரப் பணியாளர்
Electricity, மின்சாரம்
Electrify, மின்மயமாக்கு
Electron, எலக்ட்ரான்
Electronic, மின்னணு
Electronics, மின்னணுவியல்
Elegance, நேர்த்தி / அழகு
Elegant, நேர்த்தியான
Element, கூறு / தனிமம்
Elementary, ஆரம்ப நிலை
Elephant, யானை
Elevate, உயர்த்து
Elevation, உயரம் / உயர்வு
Elevator, மின்தூக்கி (எலிவேட்டர்)
Eleven, பதினொன்று
Eligible, தகுதியுள்ள
Eliminate, நீக்கு / அகற்று
Elimination, நீக்கம்
Elite, மேல்தட்டு / சிறந்த
Elixir, அமுதம்
Elk, மான் வகை
Ellipse, நீள்வட்டம்
Elliptical, நீள்வட்ட வடிவ
Elm, எல்ம் மரம்
Elocution, பேச்சுக்கலை
Elongate, நீட்டி
Eloquence, சொல்லாட்சி
Eloquent, தெளிவுறப் பேசும்
Else, வேறு
Elsewhere, வேறு எங்கேனும்
Elude, தப்பித்துக்கொள்
Elusive, பிடிபடாத
Emaciated, மெலிந்த / எலும்பும் தோலுமான
Email, மின்னஞ்சல்
Emancipate, விடுதலை செய்
Embargo, வணிகத் தடை
Embark, பயணத்தைத் தொடங்கு
Embarrass, சங்கடப்படுத்து
Embarrassment, சங்கடம்
Embassy, தூதரகம்
Embed, பதி
Embellish, அழகுபடுத்து
Ember, தணல்
Embezzle, கையாடல் செய்
Emblem, சின்னம்
Embody, உருவகப்படுத்து
Embrace, தழுவு / ஏற்றுக்கொள்
Embroider, தையல்வேலை செய்
Embroidery, எம்பிராய்டரி வேலை
Embryo, கரு
Emerald, மரகதம்
Emerge, வெளிப்படு
Emergence, தோற்றம்
Emergency, அவசரநிலை
Emeritus, ஓய்வுபெற்ற சிறப்புப் பேராசிரியர்
Emigrant, வெளிநாடு செல்பவர்
Emigrate, குடியேறு (வெளிநாட்டில்)
Emigration, வெளிநாட்டுக் குடியேற்றம்
Eminent, புகழ்பெற்ற
Emissary, தூதர்
Emission, உமிழ்வு / வெளியீடு
Emit, வெளிவிடு
Emotion, உணர்ச்சி
Emotional, உணர்ச்சிவசப்பட்ட
Empathetic, பரிவுள்ள
Empathy, அனுதாபம் / பரிவு
Emperor, சக்கரவர்த்தி
Emphasis, முக்கியத்துவம்
Emphasize, வலியுறுத்து
Empire, பேரரசு
Empirical, அனுபவப்பூர்வமான
Employ, வேலைக்கு அமர்த்து
Employee, ஊழியர்
Employer, முதலாளி
Employment, வேலைவாய்ப்பு
Empower, அதிகாரமளி
Empowerment, அதிகாரம் அளித்தல்
Empress, பேரரசி
Empty, வெற்று / காலியான
Emulate, பின்பற்று
Enable, செயல்படுத்து / இயலச்செய்
Enact, சட்டமாக்கு
Enchant, மயக்கு
Enclose, உள்ளே வை / சூழ்
Enclosure, அடைக்கப்பட்ட பகுதி
Encode, குறியீடாக்கு
Encompass, உள்ளடக்கு
Encore, மீண்டும் பாடு/ஆடு
Encounter, சந்திப்பு / மோதல்
Encourage, ஊக்குவி
Encouragement, ஊக்கம்
Encroach, ஆக்கிரமி
Encroach, ஆக்கிரமிப்பு செய்
Encumber, சுமையாக்கு
Encyclopaedia, கலைக்களஞ்சியம்
End, முடிவு
Endanger, ஆபத்துக்குள்ளாக்கு
Endangered, அழியும் நிலையிலுள்ள
Endeavor, முயற்சி
Endless, முடிவற்ற
Endorse, ஆதரி / கையொப்பமிடு
Endorsement, ஆதரவு / ஒப்புதல்
Endow, வழங்கு / நன்கொடையளி
Endowment, அறக்கட்டளை / கொடை
Endure, தாங்கு / பொறுத்துக்கொள்
Endurance, சகிப்புத்தன்மை
Enemy, எதிரி
Energetic, சுறுசுறுப்பான
Energy, ஆற்றல் / சக்தி
Enforce, அமல்படுத்து
Enforcement, அமலாக்கம்
Engage, ஈடுபடு
Engagement, நிச்சயதார்த்தம் / ஈடுபாடு
Engaging, ஈர்க்கக்கூடிய
Engine, எஞ்சின் / இயந்திரம்
Engineer, பொறியாளர்
Engineering, பொறியியல்
English, ஆங்கிலம்
Engrave, செதுக்கு
Engross, முழுமையாக ஈர்
Enhance, மேம்படுத்து
Enhancement, மேம்பாடு
Enigma, புதிரான விஷயம்
Enjoy, மகிழ் / அனுபவி
Enjoyable, மகிழ்ச்சியான
Enjoyment, மகிழ்ச்சி
Enlarge, பெரிதாக்கு
Enlighten, விழிப்புணர்வூட்டு
Enlightenment, ஞானம்
Enlist, சேர் (படை/குழு)
Enormous, மிகப்பெரிய
Enough, போதும்
Enquire, விசாரி
Enquiry, விசாரணை
Enrage, கோபப்படுத்து
Enrich, வளப்படுத்து
Enrol, பதிவுசெய்
Enrollment, சேர்க்கை
Ensure, உறுதிசெய்
Entangle, சிக்கவை
Enter, நுழை
Enterprise, நிறுவனம் / முயற்சி
Entertain, பொழுதுபோக்கு
Entertainer, கலைஞர்
Entertainment, பொழுதுபோக்கு
Enthusiasm, ஆர்வம்
Enthusiastic, ஆர்வமுள்ள
Entice, ஆசைக்காட்டு
Entire, முழுமையான
Entirely, முழுவதும்
Entity, அமைப்பு / இருப்பு
Entrance, நுழைவாயில்
Entrust, ஒப்படை
Entry, நுழைவு
Entwine, பின்னு
Enum, பட்டியல்
Enumerate, வரிசைப்படுத்து
Enunciate, தெளிவாகப் பேசு
Envelope, உறை
Envious, பொறாமையுள்ள
Environment, சுற்றுச்சூழல்
Environmental, சுற்றுச்சூழல் சார்ந்த
Envisage, கற்பனை செய் / தொலைநோக்கு
Envoy, சிறப்புத் தூதர்
Envy, பொறாமை
Epidemic, கொள்ளைநோய்
Epidermis, மேல் தோல்
Epilogue, முடிவுரை
Episode, பகுதி / நிகழ்வு
Epistle, திருமுகம் / கடிதம்
Epitome, சிறந்த உதாரணம்
Equal, சமமான
Equality, சமத்துவம்
Equally, சமமாக
Equator, நிலநடுக்கோடு
Equilibrium, சமநிலை
Equip, ஆயத்தப்படுத்து
Equipment, உபகரணம்
Equity, சமபங்கு / நேர்மை
Equivalent, சமமான
Eradicate, ஒழி / வேரறு
Eradication, ஒழிப்பு
Erase, அழி
Eraser, அழிப்பான்
Erect, நிமிர்ந்த / உருவாக்கு
Erection, கட்டுமானம்
Erode, அரி
Erosion, அரிப்பு
Err, தவறு செய்
Errand, சிறு வேலை
Erratic, நிலையற்ற
Error, தவறு
Erupt, வெடித்துச் சிதறு
Eruption, வெடிப்பு
Escalate, தீவிரமடை
Escalation, அதிகரிப்பு
Escalator, நகரும் படிக்கட்டு
Escape, தப்பிச் செல்
Eschew, தவிர்
Escort, பாதுகாப்புடன் அழைத்துச்செல்
Especially, குறிப்பாக
Espionage, உளவு பார்த்தல்
Essay, கட்டுரை
Essence, சாரம்
Essential, அத்தியாவசியமான
Essentially, அடிப்படையில்
Establish, நிறுவு
Establishment, நிறுவனம்
Estate, சொத்து / எஸ்டேட்
Esteem, மதிப்பு
Estimate, மதிப்பீடு
Estimation, மதிப்பீடு
Estrange, பிரித்துவிடு
Eternal, நித்திய / நிலையான
Eternity, நித்தியம்
Ethics, நெறிமுறைகள்
Ethical, நெறிமுறை சார்ந்த
Ethnic, இனக்குழு சார்ந்த
Ethos, பண்பாடு / இயல்பு
Etiquette, நன்னடத்தை
Euphony, இனிமையான ஒலி
Evacuate, வெளியேற்று
Evacuation, வெளியேற்றம்
Evade, தப்பி / தவிர்க்கு
Evaluate, மதிப்பிடு
Evaluation, மதிப்பீடு
Evaporate, ஆவியாகு
Evaporation, ஆவியாதல்
Evasion, தப்பித்தல்
Eve, முன்தினம்
Even, சமமான / கூட
Evening, மாலை
Event, நிகழ்வு
Eventful, நிகழ்வுகள் நிறைந்த
Eventual, இறுதியான
Eventually, இறுதியில்
Ever, என்றென்றும்
Evergreen, பசுமை மாறாத
Every, ஒவ்வொரு
Everybody, அனைவரும்
Everyday, தினசரி
Everyone, அனைவரும்
Everything, எல்லாமே
Everywhere, எங்கும்
Evict, வெளியேற்று
Eviction, வெளியேற்றம்
Evidence, சான்றாதாரம்
Evident, தெளிவான
Evidently, தெளிவாக
Evil, தீமை
Evoke, நினைவூட்டு
Evolution, பரிணாம வளர்ச்சி
Evolve, பரிணமி / வளர்
Exact, துல்லியமான
Exactly, சரியாக
Exaggerate, மிகைப்படுத்து
Exaggeration, மிகைப்படுத்தல்
Exalt, உயர்த்து
Examination, தேர்வு / சோதனை
Examine, பரிசோதி
Examiner, தேர்வாளர்
Example, உதாரணம்
Exasperate, கோபமூட்டு
Excavate, தோண்டி எடு
Excavation, அகழ்வாராய்ச்சி
Exceed, மிஞ்சு
Exceedingly, மிகவும்
Excel, சிறந்து விளங்கு
Excellence, சிறப்பு
Excellent, மிகச்சிறந்த
Except, தவிர
Exception, விதிவிலக்கு
Exceptional, விதிவிலக்கான
Excess, அதிகப்படியான
Excessive, அதிகமான
Exchange, பரிமாற்றம்
Excise, கலால் வரி
Excite, உற்சாகப்படுத்து
